P//2.0                                                                                                                        

130218-10:16:03 	PrintPDF417(15, 30, 20, 6, 3, 0xa01b138, 110) 5---time out
130218-10:19:10 	PrintPDF417(15, 30, 20, 6, 3, 0x90292a8, 110) 5---time out
130220-12:14:21 	PInit(0x8057f38, 0x8057f38) 8---cover error
130220-12:14:22 	PPrinterIsReady() 8---cover error
130220-12:14:22 	PPrinterIsReady() 8---cover error
130220-12:14:22 	PPrinterIsReady() 8---cover error
130220-12:14:22 	PSetCutterMode(0) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961ea90) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PSetCutterMode(1) 8---cover error
130220-12:14:22 	PPrintString(0x9625dd0) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x96179a8) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9625410) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961e378) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961f558) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961c8e8) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9624720) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x96247b0) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9617fc0) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9618050) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9624148) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9627f68) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9627ff8) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961d190) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x96283d8) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9628468) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961cb68) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9621488) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9621518) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9621f48) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9627e80) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9627f10) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x961f8f0) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x96282f0) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9628380) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x96289f8) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9628be0) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9628c70) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x96287c0) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x96280b8) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9628148) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9628580) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9622cc0) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9622d50) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x96290a8) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9628e18) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x9628ea8) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PPrintString(0x96215f0) 8---cover error
130220-12:14:22 	PFeedLine(1) 8---cover error
130220-12:14:22 	PSetCutterMode(1) 8---cover error
130220-12:14:22 	PSetFont(0, 0, 1) 8---cover error
130220-12:14:22 	PSetLineSpace(10) 8---cover error
130220-12:14:22 	PSetLeftMargin(0) 8---cover error
130220-12:14:22 	PSetCharSpace(0) 8---cover error
130220-12:14:22 	PFeedLine(2) 8---cover error
130220-12:14:24 	PPrinterIsReady() 8---cover error
130220-12:14:24 	PPrinterIsReady() 8---cover error
130220-12:14:24 	PPrinterIsReady() 8---cover error
130220-12:14:24 	PSetCutterMode(0) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622858) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PSetCutterMode(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622820) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9621598) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622898) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9617950) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x961e378) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x961c920) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622768) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x961d138) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x961d1c8) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x96214e0) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x96240f0) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9624180) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x961cb68) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x96283d8) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9628468) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x961c108) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9624720) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x96247b0) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9627fc0) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9629050) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x96290e0) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9622d18) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9628528) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x96285b8) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9628110) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9628768) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x96287f8) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9628c38) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x96289a0) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9628a30) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9628348) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x961f898) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x961f928) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9627ed8) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9621ef0) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9621f80) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9624eb8) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PPrintString(0x9625070) 8---cover error
130220-12:14:24 	PFeedLine(1) 8---cover error
130220-12:14:24 	PSetCutterMode(1) 8---cover error
130220-12:14:24 	PSetFont(0, 0, 1) 8---cover error
130220-12:14:24 	PSetLineSpace(10) 8---cover error
130220-12:14:24 	PSetLeftMargin(0) 8---cover error
130220-12:14:24 	PSetCharSpace(0) 8---cover error
130220-12:14:24 	PFeedLine(2) 8---cover error
130220-12:14:40 	PInit(0x8057f38, 0x8057f38) 8---cover error
130220-12:14:44 	PInit(0x8057f38, 0x8057f38) 1---no printer
130220-12:14:44 	PPrinterIsReady() 500---other error
130220-12:14:44 	PPrinterIsReady() 500---other error
130220-12:14:44 	PPrinterIsReady() 500---other error
130220-12:14:44 	PSetCutterMode(0) 500---other error
130220-12:14:44 	PPrintString(0x9623728) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x9628ed0) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x961ea90) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x9621310) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x9623728) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x9628ed0) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x961ea90) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x9621310) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x9623728) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
130220-12:14:44 	PPrintString(0x9628ed0) 500---other error
130220-12:14:44 	PFeedLine(1) 500---other error
